pmcid,title,lang,lines_full,chars_core,cjk_chars_core,cjk_ratio,tokens_full,tokens_body,tokens_core,chars_per_token_core,removed_pct,tail_cut,n_paras,para_tok_p50,para_tok_p90,para_tok_max,tab_lines
PMC10256605,Implementation of the 2018 ESC/ESH Guidelines for the management of hy,en,221,21989,0,0.0,8349,6213,5165,4.257,38.1,True,49,48,264,482,12
PMC5403080,Subclinical hypothyroidism and the risk of chronic kidney disease in T,en,220,20042,0,0.0,8178,7555,5169,3.877,36.8,True,60,63,215,375,0
PMC5427558,Concordant clear cell “mesonephric” carcinoma of the bladder and lung ,en,195,19857,0,0.0,7008,6481,5190,3.826,25.9,True,58,11,310,707,3
PMC4016044,Acute Myocardial Infarction in Sub-Saharan Africa: The Need for Data,en,243,23203,0,0.0,8098,7232,5193,4.468,35.9,True,58,65,244,378,15
PMC6028095,Serum uric acid and arterial hypertension—Data from Sephar III survey,en,274,20519,0,0.0,7089,6343,5202,3.944,26.6,True,65,71,181,324,61
PMC5079310,Impact of performance grading on annual numbers of acute myocardial in,en,188,22559,0,0.0,7558,6967,5204,4.335,31.1,True,50,105,188,290,0
PMC3956417,Simple Method for Evaluation of Planum Temporale Pyramidal Neurons Shr,en,128,20439,0,0.0,5582,5211,5211,3.922,6.6,False,35,60,385,1001,0
PMC12096032,Triple synchronous primary lung adenocarcinoma: A diagnostic challenge,en,170,20142,0,0.0,5798,5220,5220,3.859,10.0,False,44,93,185,861,21
PMC8741798,Interrelationship between 2019-nCov receptor DPP4 and diabetes mellitu,en,298,19961,0,0.0,7911,7414,5239,3.81,33.8,True,70,10,277,849,83
PMC12711146,Preoperative glycemic response to a very low-calorie diet predicts lon,en,302,19799,0,0.0,8125,7450,5260,3.764,35.3,True,85,50,132,383,44
PMC5604672,The role of serum angiopoietin-2 levels in progression and prognosis o,en,217,21422,0,0.0,8587,8044,5263,4.07,38.7,True,57,39,275,413,0
PMC5895397,High scavenger receptor class B type I expression is related to tumor ,en,218,20174,0,0.0,8385,7795,5272,3.827,37.1,True,60,18,264,443,0
PMC5120955,Ratio of lymph node to primary tumor SUVmax multiplied by maximal tumo,en,176,20545,0,0.0,7841,7248,5299,3.877,32.4,True,47,75,268,435,0
PMC11460644,Investigation of serum Metrnl levels in pregnant women with gestationa,en,259,20278,0,0.0,8035,7489,5300,3.826,34.0,True,49,87,254,487,68
PMC4759941,Hypertension unawareness among Chinese patients with first-ever stroke,en,246,22488,0,0.0,7640,7021,5306,4.238,30.5,True,61,55,224,428,31
PMC4616625,Type 1 Diabetes and Increased Risk of Subsequent Asthma: A Nationwide ,en,152,20989,0,0.0,7394,6727,5316,3.948,28.1,True,37,73,409,642,0
PMC11645421,The Effect of Eight Weeks of High-Intensity Interval Training on Folli,en,275,21890,0,0.0,8056,7535,5320,4.115,34.0,True,90,52,123,217,19
PMC4748920,Recent Trends in Hospitalization for Acute Myocardial Infarction in Be,en,183,22618,0,0.0,8804,8245,5333,4.241,39.4,True,41,72,298,654,0
PMC9843455,Identification of Key Genes and Biological Pathways Related to Myocard,en,259,21046,0,0.0,7722,7217,5349,3.935,30.7,True,78,59,129,316,32
PMC8791222,The effects of metformin and alendronate in attenuating bone loss and ,en,252,20788,0,0.0,11248,10674,5357,3.881,52.4,True,59,77,222,384,0
PMC5348162,Genetic characterization drives personalized therapy for early-stage n,en,169,21218,0,0.0,8338,7766,5367,3.953,35.6,True,40,58,363,890,0
PMC8904105,Expression Levels and Genetic Polymorphism of Scavenger Receptor Class,en,218,20572,0,0.0,7031,6622,5368,3.832,23.7,True,51,50,309,439,47
PMC6195263,Modeling the impact of obesity on the lifetime risk of chronic kidney ,en,281,21086,0,0.0,8971,7622,5383,3.917,40.0,True,53,48,279,436,67
PMC5312986,Chaperonin (HSP60) and annexin-2 are candidate biomarkers for non-smal,en,188,22728,0,0.0,8060,7445,5388,4.218,33.2,True,47,36,310,681,0
PMC11024783,Impact of Pulsed Electromagnetic Field Therapy and Aerobic Exercise on,en,152,24363,0,0.0,8494,8025,5389,4.521,36.6,True,27,114,415,1778,9
PMC9761000,The effect of increase in blood glucose level on hearing loss,en,244,20540,0,0.0,8973,8425,5421,3.789,39.6,True,60,21,229,501,20
PMC5419913,Glycated hemoglobin level is an independent predictor of major adverse,en,199,21492,0,0.0,9087,8398,5452,3.942,40.0,True,47,75,344,491,0
PMC4241593,The proposed role of plasma NT pro-brain natriuretic peptide in assess,en,269,20465,0,0.0,8970,8325,5462,3.747,39.1,True,56,73,185,578,61
PMC4501756,Meta-Analysis of the Associations of p-Cresyl Sulfate (PCS) and Indoxy,en,232,21479,0,0.0,9412,8771,5485,3.916,41.7,True,53,54,279,649,12
PMC9690494,A Study on Types of Medication Adherence in Hypertension among Older P,en,260,22957,0,0.0,9694,9073,5487,4.184,43.4,True,58,38,217,428,43
PMC5728822,Assessment of change in glucose metabolism in white matter of amyloid-,en,187,23108,0,0.0,8098,7585,5511,4.193,31.9,True,51,62,286,481,0
PMC3721535,Relationship between left ventricular geometric pattern and systolic a,en,234,19488,0,0.0,8276,7815,5526,3.527,33.2,True,44,88,187,1071,62
PMC8197013,miR155 Deficiency Reduces Myofibroblast Density but Fails to Improve C,en,183,21233,0,0.0,9237,8564,5553,3.824,39.9,True,46,65,300,524,0
PMC5428615,Clinical characteristics and outcomes of patients with myocarditis mim,en,166,22596,0,0.0,8436,7866,5567,4.059,34.0,True,35,120,446,496,0
PMC3721905,Early diastolic functional abnormalities in normotensive offspring of ,en,266,21124,0,0.0,8740,8115,5568,3.794,36.3,True,56,86,188,344,52
PMC12539876,Management and optimization of chronic renal insufficiency in the sett,en,269,22079,0,0.0,9442,8786,5573,3.962,41.0,True,74,62,178,366,20
PMC6000495,Clinical Application and Advances in Radiofrequency Ablation of Lung N,zh,222,10042,4889,0.487,9189,8714,5580,1.8,39.3,True,52,42,280,560,17
PMC6381520,Awareness of hypertension and depressive symptoms: a cross-sectional s,en,243,22598,0,0.0,7258,6668,5584,4.047,23.1,True,56,35,284,678,50
PMC10835556,Serum and salivary adiponectin levels as predictive markers for diabet,en,210,21291,0,0.0,6076,5617,5617,3.79,7.6,False,44,32,230,2181,43
PMC8688487,Undiagnosed diabetes mellitus and associated factors among adults in E,en,262,24285,0,0.0,9369,8651,5631,4.313,39.9,True,64,51,200,453,34
PMC12040632,Expression Pattern Study of miR-200a and XIAP Gene in the Non-small Ce,en,271,22047,0,0.0,7592,7115,5635,3.913,25.8,True,82,20,198,907,64
PMC11346952,An approach to integrated management of diabetes in tuberculosis patie,en,265,25055,0,0.0,8432,7587,5646,4.438,33.0,True,65,11,236,505,45
PMC5072944,Radiation-induced heart disease in lung cancer radiotherapy: A dosimet,en,209,24722,0,0.0,10017,9448,5656,4.371,43.5,True,48,89,272,435,0
PMC6221621,The ratio of urinary sodium and potassium and chronic kidney disease p,en,203,22094,0,0.0,8206,7672,5675,3.893,30.8,True,57,49,229,666,0
PMC7098606,Knowledge and associated factors towards diabetes mellitus among adult,en,377,24956,0,0.0,8230,7403,5677,4.396,31.0,True,81,29,174,564,107
PMC5207554,Impact of disease-management programs on metabolic control in patients,en,204,25188,0,0.0,8514,7907,5681,4.434,33.3,True,49,94,254,479,0
PMC10803342,Expression levels and clinical significance of ferroptosis-related gen,en,189,22281,0,0.0,8031,7511,5697,3.911,29.1,True,57,36,255,652,0
PMC7835148,Risk factors for pancreas and lung neuroendocrine neoplasms: a case–co,en,354,21763,0,0.0,10289,9194,5724,3.802,44.4,True,64,27,274,770,110
PMC9360707,Breastfeeding mobile application for mothers with gestational diabetes,en,276,26855,0,0.0,7915,7227,5751,4.67,27.3,True,98,19,185,349,6
PMC5931551,Paraneoplastic limbic encephalitis associated with lung cancer,en,213,23684,0,0.0,8118,7536,5755,4.115,29.1,True,42,127,294,420,50
PMC13346366,GLP-1 receptor agonists in atherosclerotic cardiovascular disease and ,en,328,22033,0,0.0,12125,11169,5764,3.823,52.5,True,61,55,240,571,70
PMC11637408,Association between Angiotensin-converting enzyme (ACE) insertion/dele,en,676,22204,0,0.0,16070,15117,5770,3.848,64.1,True,63,66,188,593,87
PMC5153917,Desire for predictive testing for Alzheimer’s disease and impact on ad,en,256,26375,0,0.0,7246,6693,5773,4.569,20.3,True,66,63,240,390,57
PMC11249421,Continued decline in the incidence of myocardial infarction beyond the,en,202,25854,0,0.0,9243,8503,5786,4.468,37.4,True,55,68,248,436,0
PMC12868036,"Effect of patient education in improving quality of life, fatigue and ",en,317,24457,0,0.0,13807,12912,5808,4.211,57.9,True,79,24,225,466,12
PMC3493278,Cardiovascular disease prevalence in patients with inflammatory arthri,en,192,23785,0,0.0,6308,5808,5808,4.095,7.9,False,55,47,231,979,19
PMC5396487,Effective Universal Coverage of Diabetes Mellitus Type 2 in Chile,en,229,26276,0,0.0,8280,7850,5829,4.508,29.6,True,55,72,238,385,45
PMC5747262,Abnormal elevation of myocardial necrosis biomarkers after coronary ar,en,263,23243,0,0.0,8057,7355,5831,3.986,27.6,True,77,34,200,433,19
PMC4582323,Patient classification of hypertension in Traditional Chinese Medicine,en,267,22922,0,0.0,6460,5836,5836,3.928,9.7,False,93,28,133,1158,14
PMC11346707,Impact of Hypertension on the Dose-Response Association Between Physic,en,240,25512,0,0.0,9832,9080,5838,4.37,40.6,True,63,37,277,476,0
PMC4616690,Efficacy of Adenosine in Patients With Acute Myocardial Infarction Und,en,248,22653,0,0.0,9948,9402,5843,3.877,41.3,True,75,37,195,319,0
PMC5266065,Usefulness of 3-dimensional stereotactic surface projection FDG PET im,en,191,23600,0,0.0,8195,7645,5856,4.03,28.5,True,54,84,267,437,0
PMC3971618,Characterisation of left ventricular function by tissue Doppler imagin,en,280,22268,0,0.0,9110,8439,5874,3.791,35.5,True,66,76,191,539,52
PMC9453102,Evidence and Potential Mechanisms of Traditional Chinese Medicine for ,en,376,24094,0,0.0,14498,13796,5904,4.081,59.3,True,67,47,209,367,0
PMC8973653,Metformin is associated with favorable outcomes in patients with COVID,en,194,23553,0,0.0,8017,7532,5907,3.987,26.3,True,44,24,371,701,34
PMC3721772,Impact of income on the profile of cardiovascular risk factors among h,en,218,23675,0,0.0,7582,7203,5922,3.998,21.9,True,45,120,264,580,58
PMC10518896,Short-Term Mortality Associated With Hypertensive Emergencies: A Prosp,en,332,24787,0,0.0,7515,7022,5923,4.185,21.2,True,85,23,221,442,93
PMC5570270,Influence of coronary architecture on the variability in myocardial in,en,211,22929,0,0.0,9311,8167,5942,3.859,36.2,True,50,66,301,497,0
PMC4022589,Diabetes Mellitus and Poorer Prognosis in Hepatocellular Carcinoma: A ,en,254,24463,0,0.0,11256,10618,5944,4.116,47.2,True,42,52,327,772,37
PMC10714632,Post-traumatic stress disorder among heart disease patients: a clinica,en,306,26195,0,0.0,9565,8668,5958,4.397,37.7,True,92,22,161,369,23
PMC8467937,Common Metabolites in Two Different Hypertensive Mouse Models: A Serum,en,218,24442,0,0.0,11981,11278,5958,4.102,50.3,True,38,133,358,594,0
PMC13316862,Relationship between lower urinary system symptoms and urinary inconti,en,241,22831,0,0.0,8376,7666,5963,3.829,28.8,True,55,72,261,587,47
PMC3951206,Limited health literacy is associated with low glomerular filtration i,en,239,24125,0,0.0,9349,8720,5975,4.038,36.1,True,43,75,346,563,45
PMC8954358,UGT1A1 Gene Polymorphism Contributes as a Risk Factor for Lung Cancer:,en,295,22214,0,0.0,11835,11110,5989,3.709,49.4,True,69,93,168,340,42
PMC3623866,Mass Spectrometry Quantification Revealed Accumulation of C-Terminal F,en,191,22724,0,0.0,8461,7828,5999,3.788,29.1,True,41,114,332,661,16
PMC5023915,Increased GABA concentrations in type 2 diabetes mellitus are related ,en,205,25728,0,0.0,8621,7969,6000,4.288,30.4,True,56,87,259,432,0
PMC4839801,The Incidence of Cardiovascular Events Is Comparable Between Normoalbu,en,171,25465,0,0.0,8581,8041,6024,4.227,29.8,True,44,78,360,849,0
PMC7913410,The clinical profiles and outcomes of HIV-negative cryptococcal mening,en,320,23976,0,0.0,8948,7894,6039,3.97,32.5,True,71,10,278,716,67
PMC5326029,"Hypertension in the Ferlo (Northern Senegal): prevalence, awareness, t",en,252,25026,0,0.0,8664,8135,6040,4.143,30.3,True,64,31,258,439,45
PMC8111520,"Diagnosis of gestational diabetes in Uganda: The reactions of women, f",en,244,26826,0,0.0,7712,7177,6044,4.438,21.6,True,81,66,155,298,11
PMC6502320,Alzheimer's disease: Estimating its prevalence rate in a French geogra,en,233,27233,0,0.0,9281,8266,6051,4.501,34.8,True,55,46,260,787,5
PMC5682784,Identification of differential expressed PE exosomal miRNA in lung ade,en,255,22750,0,0.0,11121,10447,6052,3.759,45.6,True,54,66,282,415,0
PMC8778233,Right Heart Pulmonary Circulation Unit Response to Exercise in Patient,en,433,23615,0,0.0,15556,13961,6062,3.896,61.0,True,39,92,341,1068,0
PMC11510088,The Role of Vericiguat in Early Phases of Anterior Myocardial Infarcti,en,220,25019,0,0.0,10451,9885,6087,4.11,41.8,True,52,93,277,621,20
PMC3860441,Systems Biology in the study of Neurological Disorders: Focus on Alzhe,en,162,27352,0,0.0,7727,7183,6087,4.494,21.2,True,48,119,276,404,0
PMC5609608,Heart rate variability based on risk stratification for type 2 diabete,en,289,23543,0,0.0,8860,8379,6117,3.849,31.0,True,78,46,197,591,43
PMC7706226,Investigating the prevalence of hypertension and its associated risk f,en,302,23713,0,0.0,9083,8269,6119,3.875,32.6,True,74,68,221,399,69
PMC7117725,Prevalence of anemia in predialysis chronic kidney disease: Is the stu,en,718,21950,0,0.0,15691,14877,6124,3.584,61.0,True,45,103,258,942,77
PMC5851744,Effect of hypoglycemic agents on survival outcomes of lung cancer pati,en,223,25503,0,0.0,9214,8670,6129,4.161,33.5,True,63,37,274,504,0
PMC3608613,Longer Telomere Length in Peripheral White Blood Cells Is Associated w,en,249,24366,0,0.0,10175,9359,6132,3.974,39.7,True,45,58,378,449,46
PMC5464539,"Obesity, metabolic factors and risk of different histological types of",en,535,23929,0,0.0,14697,11332,6136,3.9,58.2,True,50,51,352,593,13
PMC9446362,P300 latency and amplitude in Alzheimer's disease: a systematic review,en,261,24421,0,0.0,9212,8579,6148,3.972,33.3,True,57,90,165,910,48
PMC7793332,Correlates of Residual Thrombus Burden in Successfully Thrombolysed Pa,en,239,23783,0,0.0,8335,7733,6149,3.868,26.2,True,67,25,279,492,36
PMC5507536,ANK1 is up-regulated in laser captured microglia in Alzheimer’s brain;,en,300,24089,0,0.0,11113,9489,6154,3.914,44.6,True,64,63,225,334,20
PMC4113441,"Awareness, Treatment, Control of Diabetes Mellitus and the Risk Factor",en,294,25086,0,0.0,8853,8002,6179,4.06,30.2,True,46,81,296,847,104
PMC12520724,Relationship between dietary inflammatory index and risk of gestationa,en,305,23782,0,0.0,9817,8787,6180,3.848,37.0,True,67,61,226,691,72
PMC4602448,High Body Mass Index Reduces Glomerular Filtration Rate Decline in Typ,en,187,24378,0,0.0,9397,8834,6182,3.943,34.2,True,46,49,399,606,0
PMC12116197,Incidence of Cardiovascular Events in Hypertensive Patients Based on t,en,319,26808,0,0.0,12723,12057,6192,4.329,51.3,True,54,110,254,541,0
PMC3747268,Myocardial Salvage is Reduced in Primary PCI-Treated STEMI Patients wi,en,230,23473,0,0.0,9237,8520,6202,3.785,32.9,True,56,81,258,402,29
PMC4730636,Anemia and risk for cognitive decline in chronic kidney disease,en,327,25406,0,0.0,8766,7870,6205,4.094,29.2,True,75,19,268,447,73
PMC13313068,Decoding inflammation: first-trimester biomarkers as predictive tools ,en,267,21511,0,0.0,8574,8120,6219,3.459,27.5,True,59,49,256,679,71
PMC9276513,Cardiac Magnetic Resonance Assessment of the Protective Effect of Remo,en,172,24266,0,0.0,6748,6221,6221,3.901,7.8,False,48,26,275,1726,6
PMC9338576,Video-assisted thoracoscopic treatment as two-day surgery for lung neo,en,318,25889,0,0.0,8178,7600,6223,4.16,23.9,True,94,12,202,349,61
PMC6544065,Non-Medical Strategies to Improve Pregnancy Outcomes of Women with Ges,en,232,27122,0,0.0,8182,7756,6239,4.347,23.7,True,71,43,230,308,31
PMC10259789,Self-management of type 2 diabetes mellitus in pregnancy and breastfee,en,782,27772,0,0.0,17000,15919,6251,4.443,63.2,True,68,77,216,392,34
PMC5052499,The prognostic value of blood glucose level on admission in non-diabet,en,276,24832,0,0.0,6646,6258,6258,3.968,5.8,False,102,32,95,1854,0
PMC4016835,Gender Specific Association of RAS Gene Polymorphism with Essential Hy,en,337,25284,0,0.0,14646,14238,6273,4.031,57.2,True,40,139,400,532,0
PMC4603123,Adiponectin is Not Associated With Blood Pressure in Normotensives and,en,204,24793,0,0.0,10698,10079,6277,3.95,41.3,True,43,88,321,725,0
PMC5302066,"The impact of gender, level of amputation and diabetes on prosthetic f",en,271,24951,0,0.0,8995,8526,6278,3.974,30.2,True,67,93,190,263,50
PMC10150548,Guillain–Barre syndrome after myocardial infarction: a case report and,en,258,23967,0,0.0,8429,7687,6281,3.816,25.5,True,64,10,357,987,51
PMC8042020,COPD significantly increases cerebral and cardiovascular events in hyp,en,258,24115,0,0.0,9730,9149,6285,3.837,35.4,True,53,79,294,386,61
PMC4985410,Assessment of Left Ventricular Ejection Fraction Calculation on Long-a,en,231,24955,0,0.0,8320,7706,6295,3.964,24.3,True,77,52,192,338,0
PMC9229324,Biomarkers Predictive for In-Hospital Mortality in Patients with Diabe,en,341,25193,0,0.0,13000,11530,6295,4.002,51.6,True,52,102,275,462,0
PMC3244409,Plasma Biomarkers of Brain Atrophy in Alzheimer's Disease,en,267,26261,0,0.0,9606,8707,6316,4.158,34.2,True,60,61,287,432,25
PMC8265258,"Chronic kidney diseases among homeless and slum dwellers in Accra, Gha",en,237,23990,0,0.0,6778,6318,6318,3.797,6.8,False,42,18,435,1607,84
PMC12237589,"Comprehensive Assessment of the Impact of Blood Pressure, Body Mass In",en,246,25096,0,0.0,9387,8438,6321,3.97,32.7,True,54,90,272,460,27
PMC8565009,The association between diabetes mellitus and HRQoL of older people in,en,329,25594,0,0.0,8506,7925,6322,4.048,25.7,True,76,19,211,606,100
PMC7311953,Diabetes in Pregnancy and Risk of Antepartum Depression: A Systematic ,en,282,26857,0,0.0,13476,12785,6339,4.237,53.0,True,58,90,269,502,0
PMC9003277,Role of Beta-Carotene in Lung Cancer Primary Chemoprevention: A System,en,287,24656,0,0.0,8561,8049,6350,3.883,25.8,True,80,60,171,596,47
PMC6417234,Prevalence of diabetes mellitus among tuberculosis patients in Sub-Sah,en,369,26488,0,0.0,12988,12134,6353,4.169,51.1,True,91,8,253,429,32
PMC11216020,Functional autoantibodies against G protein-coupled receptors in hepat,en,241,24454,0,0.0,10431,9544,6359,3.846,39.0,True,64,73,253,416,0
PMC8319704,Morbidity and mortality outcomes of COVID-19 patients with and without,en,348,25880,0,0.0,9258,8328,6359,4.07,31.3,True,76,17,227,504,91
PMC3809380,Higher Incidence of Lung Adenocarcinomas Induced by DMBA in Connexin 4,en,207,22919,0,0.0,6731,6369,6369,3.599,5.4,False,50,78,251,1808,53
PMC5515760,Correlation of iodine uptake and perfusion parameters between dual-ene,en,205,25504,0,0.0,8865,8397,6376,4.0,28.1,True,61,93,214,374,0
PMC6837603,A prospective study assessing feasibility of performing percutaneous n,en,362,25100,0,0.0,10028,9530,6387,3.93,36.3,True,105,42,133,273,53
PMC10916801,"Genetic polymorphisms in the angiotensin converting enzyme, actinin 3 ",en,278,23060,0,0.0,9411,8660,6389,3.609,32.1,True,64,65,219,970,60
PMC5657061,The effect of renal denervation in an experimental model of chronic re,en,277,25259,0,0.0,9134,8374,6391,3.952,30.0,True,71,24,235,514,44
PMC12503227,Histological Analysis of Arterial and Venous Grafts Used in Coronary B,en,415,21376,0,0.0,10748,9596,6403,3.338,40.4,True,78,53,175,552,111
PMC9714856,Interpretation of pre-morbid cardiac 3T MRI findings in overweight and,en,891,23908,0,0.0,20946,19721,6408,3.731,69.4,True,62,75,217,536,39
PMC10509015,Immune checkpoint inhibitor– and phosphatidylinositol-3-kinase inhibit,en,250,25038,0,0.0,10568,9902,6414,3.904,39.3,True,53,108,271,387,32
PMC12483167,Association of copeptin levels in the postpartum period with gestation,en,230,23476,0,0.0,8496,7982,6420,3.657,24.4,True,44,73,357,863,66
PMC10100199,Predictors and characteristics of Rib fracture following SBRT for lung,en,310,26929,0,0.0,8671,7989,6424,4.192,25.9,True,62,23,325,503,118
PMC6950911,Cardiac surgery in acute myocardial infarction: crystalloid versus blo,en,286,24637,0,0.0,9067,8515,6430,3.832,29.1,True,97,10,239,553,26
PMC9376236,Impact of preexisting diabetes mellitus on cardiovascular and all-caus,en,383,24411,0,0.0,10591,9963,6432,3.795,39.3,True,60,32,177,1962,118
PMC9152091,"THIRSTY FOR FRUCTOSE: Arginine Vasopressin, Fructose, and the Pathogen",en,189,26690,0,0.0,12490,11924,6437,4.146,48.5,True,30,242,399,505,0
PMC11600683,"The relationship between serum levels of LOX-1, hs-cTnT, NGAL, and ren",en,270,24405,0,0.0,10419,9687,6443,3.788,38.2,True,71,26,281,437,22
PMC11801616,Impact of type 2 diabetes mellitus on results in the animal naming tes,en,332,25215,0,0.0,10069,9007,6469,3.898,35.8,True,64,50,233,749,40
PMC5690724,Subcellular localization of β-arrestin1 and its prognostic value in lu,en,199,25428,0,0.0,9296,8693,6473,3.928,30.4,True,54,111,260,463,0
PMC3966818,Molecular Topology as Novel Strategy for Discovery of Drugs with Aβ Lo,en,240,25718,0,0.0,9803,8869,6479,3.969,33.9,True,59,52,259,768,12
PMC5218460,The Systematic Evaluation of Identifying the Infarct Related Artery Ut,en,319,24468,0,0.0,10659,9445,6484,3.774,39.2,True,57,29,347,898,81
PMC9228912,"Prevalence, complications and factors associated with severely elevate",en,238,25398,0,0.0,7261,6484,6484,3.917,10.7,False,51,63,260,2037,49
PMC4603066,An Increased Risk of Reversible Dementia May Occur After Zolpidem Deri,en,179,25724,0,0.0,9546,8814,6485,3.967,32.1,True,43,106,345,557,0
PMC5305035,Mapping the methylation status of the miR-145 promoter in saphenous ve,en,233,24950,0,0.0,9305,8606,6485,3.847,30.3,True,55,82,253,476,35
PMC7469006,Beneficial Effects of Vitamin K Status on Glycemic Regulation and Diab,en,270,25579,0,0.0,17057,16602,6497,3.937,61.9,True,43,73,426,760,17
PMC10606350,The Clinical and Molecular Profile of Lung Cancer Patients Harboring t,en,248,25325,0,0.0,9723,8914,6498,3.897,33.2,True,54,121,230,498,54
PMC5371492,Head-to-head comparison of 11C-PiB and 18F-FC119S for Aβ imaging in he,en,212,24305,0,0.0,9535,8808,6498,3.74,31.9,True,56,107,240,490,0
PMC1559722,Negative association of endothelial nitric oxide gene polymorphism wit,en,215,23749,0,0.0,6976,6503,6503,3.652,6.8,False,52,45,278,1774,43
PMC7727251,Non-pharmacological interventions for the prevention of type 2 diabete,en,288,26939,0,0.0,8685,7987,6508,4.139,25.1,True,97,7,172,1460,18
PMC3721765,Relationship between left ventricular diastolic function and geometric,en,237,22910,0,0.0,8002,7575,6514,3.517,18.6,True,59,80,241,872,51
PMC11300943,The Effect of Bone Marrow Mesenchymal Stem Cells on Nestin and Sox-2 G,en,262,24822,0,0.0,9628,9041,6520,3.807,32.3,True,82,69,164,289,14
PMC9038861,Feasibility of diffusion-weighted magnetic resonance imaging in evalua,en,278,26576,0,0.0,8969,8220,6525,4.073,27.2,True,88,24,184,535,23
PMC7774736,Incidence trends of lung and gastroenteropancreatic neuroendocrine neo,en,263,24396,0,0.0,9433,8796,6528,3.737,30.8,True,54,114,252,432,57
PMC4670225,Quality and Cost of Diabetes Mellitus Care in Community Health Centers,en,326,26800,0,0.0,8647,8054,6543,4.096,24.3,True,48,46,305,988,132
PMC4739587,Interleukin-6 Is a Risk Factor for Atrial Fibrillation in Chronic Kidn,en,283,23986,0,0.0,13081,11404,6547,3.664,50.0,True,45,135,343,651,45
PMC4736777,"Diabetes Mellitus in Outpatients in Debre Berhan Referral Hospital, Et",en,321,26749,0,0.0,6932,6564,6564,4.075,5.3,False,81,23,162,2086,103
PMC10503878,Beyond Conventional Control: Insights Into Drug-Resistant Hypertension,en,225,29068,0,0.0,8647,8195,6565,4.428,24.1,True,71,37,241,429,0
PMC9704679,The impact of increasing expenditure on National Essential Public Heal,en,1014,27598,0,0.0,21553,20739,6565,4.204,69.5,True,64,54,271,572,90
PMC4902352,Body Mass Index and Cancer Mortality Among Korean Older Middle-Aged Me,en,222,26422,0,0.0,10201,9599,6569,4.022,35.6,True,53,105,268,451,0
PMC9339419,Empagliflozin in the treatment of heart failure and type 2 diabetes me,en,148,24089,0,0.0,7012,6589,6589,3.656,6.0,False,28,33,316,3849,0
PMC11411240,Comparison of histopathological and triphenyl tetrazolium chloride tes,en,417,26286,0,0.0,8300,7657,6592,3.988,20.6,True,135,19,130,381,70
PMC11580841,Age- and amyloid-β-dependent initiation of neurofibrillary tau tangles,en,207,23953,0,0.0,10068,9397,6596,3.631,34.5,True,52,126,277,448,0
PMC6079422,The Impact of Type 2 Diabetes Mellitus on Long-Term Prognosis in Patie,en,167,26875,0,0.0,7069,6618,6618,4.061,6.4,False,44,84,297,1531,12
PMC8209386,Dysregulation of the Excitatory Renal Reflex in the Sympathetic Activa,en,213,24882,0,0.0,10439,9757,6618,3.76,36.6,True,52,103,323,512,5
PMC6010458,Uncontrolled hypertension increases risk of all-cause and cardiovascul,en,213,26481,0,0.0,8904,8291,6631,3.994,25.5,True,50,26,375,575,37
PMC7021702,Fractional Anisotropy changes in Parahippocampal Cingulum due to Alzhe,en,239,26923,0,0.0,11253,10599,6646,4.051,40.9,True,52,106,278,586,18
PMC10236766,Risk prediction of gestational diabetes mellitus in women with polycys,en,226,26106,0,0.0,9481,8940,6661,3.919,29.7,True,54,60,361,469,31
PMC9181472,Polysomnographic Evaluation of Sleep Bruxism Intensity and Sleep Archi,en,285,26260,0,0.0,10875,10138,6663,3.941,38.7,True,66,61,240,439,48
PMC5604625,Shared polymorphisms and modifiable behavior factors for myocardial in,en,211,26429,0,0.0,10567,10081,6665,3.965,36.9,True,56,41,307,544,0
PMC3742514,Decreases in Electrocardiographic R-Wave Amplitude and QT Interval Pre,en,219,26058,0,0.0,11033,10373,6688,3.896,39.4,True,46,124,283,501,21
PMC6889673,Expression profiles of long noncoding RNAs and messenger RNAs in the b,en,300,25662,0,0.0,12099,11607,6690,3.836,44.7,True,98,22,189,322,0
PMC8249442,Bidirectional association between periodontal disease and diabetes mel,en,245,29021,0,0.0,10951,10341,6691,4.337,38.9,True,69,10,270,653,0
PMC5478118,The association between serum uric acid and the incidence of prediabet,en,297,26818,0,0.0,10786,9311,6694,4.006,37.9,True,86,16,235,505,49
PMC8983729,Impact of weather changes on hospital admissions for hypertension,en,232,27596,0,0.0,8657,8093,6698,4.12,22.6,True,56,96,296,427,38
PMC5572005,Effect of charted mental illness on reperfusion therapy in hospitalize,en,169,29595,0,0.0,9231,8665,6708,4.412,27.3,True,49,157,238,343,0
PMC6023630,Metabolic Syndrome-Related Features in Controlled and Resistant Hypert,en,272,25937,0,0.0,9873,9404,6717,3.861,32.0,True,63,54,232,789,60
PMC8379120,Prognostic ability of mid-term worsening renal function after percutan,en,283,24702,0,0.0,9452,8436,6724,3.674,28.9,True,51,12,373,1065,73
PMC5423430,Non-dipper hypertension is associated with slow coronary flow among hy,en,286,24495,0,0.0,8872,8445,6743,3.633,24.0,True,61,87,235,747,85
PMC4051660,Changes in QTc Interval in the Citalopram for Agitation in Alzheimer's,en,549,27633,0,0.0,12326,10196,6747,4.096,45.3,True,58,75,278,627,38
PMC3960483,Treatment Strategies to Prevent Renal Damage in Hypertensive Children,en,259,29550,0,0.0,13168,12787,6750,4.378,48.7,True,61,114,237,371,0
